# BOSCH-DARAB extract file created 30.01.2026 19:59:50
#
# Data from source file "C:\Bosch\WinDarab\Data\DataFiles\FK07_10_12_2025 Outing 34 SCCA AutoX.bmsbin"
# where 0.000 <= xtime <= 4890.020
# 
xtime    [s]	xdist    [m]	az       [g]	Coolant_Temperature[°C]	Engine_Speed[rpm]	Fuel_Pressure[kPa]	gps_speed[km/h]	lapdist  [m]	laptime  [s]	str_whl_angle[°]	Throttle_Position[%]
          9.600	            0.0	       0.995092	           20.6	              0	          343.0	           0.00	            0.0	          9.600	         197.55	           20.0
          9.700	            0.0	       1.000828	           20.6	              0	          343.8	           0.00	            0.0	          9.700	         197.60	           19.9
          9.800	            0.0	       0.992161	           20.6	              0	          342.4	           0.00	            0.0	          9.800	         197.50	           19.9
          9.900	            0.0	       0.986680	           20.6	              0	          342.0	           0.00	            0.0	          9.900	         197.50	           19.9
         10.000	            0.0	       0.975335	           20.7	              0	          342.8	           0.00	            0.0	         10.000	         197.50	           19.9
         10.100	            0.0	       0.991906	           20.7	              0	          343.1	           0.00	            0.0	         10.100	         197.50	           19.9
         10.200	            0.0	       0.981963	           20.7	              0	          342.8	           0.00	            0.0	         10.200	         197.55	           20.0
         10.300	            0.0	       0.991523	           20.7	              0	          342.3	           0.00	            0.0	         10.300	         197.55	           20.0
         10.400	            0.0	       0.995220	           20.7	              0	          342.5	           0.00	            0.0	         10.400	         197.50	           20.0
         10.500	            0.0	       0.992543	           20.7	              0	          343.4	           0.00	            0.0	         10.500	         197.50	           20.0
         10.600	            0.0	       0.993945	           20.7	              0	          342.4	           0.00	            0.0	         10.600	         197.50	           20.0
         10.700	            0.0	       0.994073	           20.7	              0	          342.3	           0.00	            0.0	         10.700	         197.55	           20.0
         10.800	            0.0	       0.994837	           20.7	              0	          341.9	           0.00	            0.0	         10.800	         197.55	           20.0
         10.900	            0.0	       0.994837	           20.7	              0	          342.4	           0.00	            0.0	         10.900	         197.50	           20.0
         11.000	            0.0	       0.997132	           20.7	              0	          342.4	           0.00	            0.0	         11.000	         197.50	           20.0
         11.100	            0.0	       0.996112	           20.7	              0	          340.7	           0.00	            0.0	         11.100	         197.55	           19.9
         11.200	            0.0	       0.994455	           20.7	              0	          338.6	           0.00	            0.0	         11.200	         197.55	           19.9
         11.300	            0.0	       0.993435	           20.7	              0	          337.5	           0.00	            0.0	         11.300	         197.55	           19.9
         11.400	            0.0	       0.991523	           20.7	              0	          337.6	           0.00	            0.0	         11.400	         197.55	           19.9
         11.500	            0.0	       0.992925	           20.7	              0	          337.5	           0.00	            0.0	         11.500	         197.55	           19.9
         11.600	            0.0	       0.992543	           20.8	              0	          337.3	           0.00	            0.0	         11.600	         197.50	           19.9
         11.700	            0.0	       0.992161	           20.8	              0	          336.7	           0.00	            0.0	         11.700	         197.55	           19.9
         11.800	            0.0	       0.992543	           20.8	              0	          336.1	           0.00	            0.0	         11.800	         197.55	           19.9
         11.900	            0.0	       0.996877	           20.8	              0	          336.5	           0.00	            0.0	         11.900	         197.55	           19.9
         12.000	            0.0	       0.992671	           20.8	              0	          336.3	           0.00	            0.0	         12.000	         197.55	           19.9
         12.100	            0.0	       0.989102	           20.8	              0	          335.5	           0.00	            0.0	         12.100	         197.55	           19.9
         12.200	            0.0	       0.996877	           20.7	              0	          335.6	           0.00	            0.0	         12.200	         197.55	           19.9
         12.300	            0.0	       0.992161	           20.7	              0	          335.8	           0.00	            0.0	         12.300	         197.60	           19.9
         12.400	            0.0	       0.995092	           20.7	              0	          335.7	           0.00	            0.0	         12.400	         197.55	           19.9
         12.500	            0.0	       1.000318	           20.7	              0	          335.6	           0.00	            0.0	         12.500	         197.45	           19.9
         12.600	            0.0	       0.993053	           20.7	              0	          335.1	           0.00	            0.0	         12.600	         197.55	           19.9
         12.700	            0.0	       0.986170	           20.7	              0	          335.1	           0.00	            0.0	         12.700	         197.55	           19.9
         12.800	            0.0	       0.996112	           20.7	              0	          335.4	           0.00	            0.0	         12.800	         197.45	           19.9
         12.900	            0.0	       0.993690	           20.7	              0	          335.1	           0.00	            0.0	         12.900	         197.45	           20.0
         13.000	            0.0	       0.993435	           20.7	              0	          334.9	           0.00	            0.0	         13.000	         197.45	           19.9
         13.100	            0.0	       0.993053	           20.7	              0	          334.5	           0.00	            0.0	         13.100	         197.55	           20.0
         13.200	            0.0	       0.989739	           20.7	              0	          334.3	           0.00	            0.0	         13.200	         197.50	           20.0
         13.300	            0.0	       0.997514	           20.7	              0	          334.9	           0.00	            0.0	         13.300	         197.50	           20.0
         13.400	            0.0	       0.993053	           20.7	              0	          334.8	           0.00	            0.0	         13.400	         197.50	           20.0
         13.500	            0.0	       0.999809	           20.7	              0	          333.6	           0.00	            0.0	         13.500	         197.45	           20.0
         13.600	            0.0	       0.993690	           20.6	              0	          334.0	           0.00	            0.0	         13.600	         197.45	           20.0
         13.700	            0.0	       0.994073	           20.6	              0	          334.3	           0.00	            0.0	         13.700	         197.45	           20.0
         13.800	            0.0	       0.992925	           20.6	              0	          334.2	           0.00	            0.0	         13.800	         197.50	           20.0
         13.900	            0.0	       0.992543	           20.6	              0	          333.7	           0.00	            0.0	         13.900	         197.45	           19.9
         14.000	            0.0	       0.996112	           20.6	              0	          334.0	           0.00	            0.0	         14.000	         197.50	           19.9
         14.100	            0.0	       0.991141	           20.6	              0	          333.4	           0.00	            0.0	         14.100	         197.50	           19.9
         14.200	            0.0	       0.982601	           20.7	              0	          333.7	           0.00	            0.0	         14.200	         197.45	           19.9
         14.300	            0.0	       0.984513	           20.7	              0	          333.2	           0.00	            0.0	         14.300	         197.45	           19.9
         14.400	            0.0	       0.995857	           20.7	              0	          333.1	           0.00	            0.0	         14.400	         197.50	           19.9
         14.500	            0.0	       0.994455	           20.7	              0	          333.1	           0.00	            0.0	         14.500	         197.45	           19.9
         14.600	            0.0	       0.994710	           20.7	              0	          333.0	           0.00	            0.0	         14.600	         197.45	           19.9
         14.700	            0.0	       0.997514	           20.7	              0	          333.3	           0.00	            0.0	         14.700	         197.43	           19.9
         14.800	            0.0	       0.994073	           20.7	              0	          332.9	           0.00	            0.0	         14.800	         197.45	           20.0
         14.900	            0.0	       0.991906	           20.7	              0	          332.5	           0.00	            0.0	         14.900	         197.43	           19.9
         15.000	            0.0	       0.994710	           20.7	              0	          332.6	           0.00	            0.0	         15.000	         197.43	           20.0
         15.100	            0.0	       0.992543	           20.7	              0	          332.8	           0.00	            0.0	         15.100	         197.45	           19.9
         15.200	            0.0	       0.994073	           20.7	              0	          332.1	           0.00	            0.0	         15.200	         197.48	           19.9
         15.300	            0.0	       0.995475	           20.7	              0	          332.3	           0.00	            0.0	         15.300	         197.43	           20.0
         15.400	            0.0	       0.996494	           20.6	              0	          331.7	           0.00	            0.0	         15.400	         197.40	           20.0
         15.500	            0.0	       0.993308	           20.6	              0	          332.6	           0.00	            0.0	         15.500	         197.43	           19.9
         15.600	            0.0	       0.992543	           20.7	              0	          331.7	           0.00	            0.0	         15.600	         197.40	           19.9
         15.700	            0.0	       0.995475	           20.7	              0	          332.0	           0.00	            0.0	         15.700	         197.40	           20.0
         15.800	            0.0	       0.993945	           20.7	              0	          331.5	           0.00	            0.0	         15.800	         197.40	           20.0
         15.900	            0.0	       0.995857	           20.7	              0	          331.9	           0.00	            0.0	         15.900	         197.40	           20.0
         16.000	            0.0	       0.996494	           20.7	              0	          332.1	           0.00	            0.0	         16.000	         197.35	           19.9
         16.100	            0.0	       0.988719	           20.7	              0	          331.5	           0.00	            0.0	         16.100	         197.35	           20.0
         16.200	            0.0	       0.988082	           20.7	              0	          331.8	           0.00	            0.0	         16.200	         197.30	           19.9
         16.300	            0.0	       0.988464	           20.7	              0	          331.4	           0.00	            0.0	         16.300	         197.25	           20.0
         16.400	            0.0	       0.990759	           20.7	              0	          331.8	           0.00	            0.0	         16.400	         197.30	           20.0
         16.500	            0.0	       0.987317	           20.7	              0	          331.9	           0.00	            0.0	         16.500	         197.30	           20.0
         16.600	            0.0	       0.996494	           20.7	              0	          331.0	           0.00	            0.0	         16.600	         197.30	           20.0
